"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:065vK7cbEKoAwb3r0s8uOZ","Monterey","spotify:artist:20lGLFmdtadbUYmqzFRcA2","The Echelon Effect","spotify:album:3OgAMu5xK0ReqRQYMzaDGY","Pacific","spotify:artist:20lGLFmdtadbUYmqzFRcA2","The Echelon Effect","2014-06-16","https://i.scdn.co/image/ab67616d0000b273e38287e1715b3698366f40ac","1","4","421457","https://p.scdn.co/mp3-preview/14165d2aeba359a111c1881ba5e626e066c3af67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","TCABY1402207","spotify:user:12149955269","2015-06-30T14:52:54Z"
"spotify:track:3L0fPX8biELkH57fF3Exkd","What You Love You Must Love Now","spotify:artist:3puKPIXi7bUDnPuJZOlJxL","The Six Parts Seven","spotify:album:3tpwV2Th7Q7sS7TzeE4viK","Everywhere And Right Here","spotify:artist:3puKPIXi7bUDnPuJZOlJxL","The Six Parts Seven","2004-08-16","https://i.scdn.co/image/ab67616d0000b2734127c21983f9a6a6e26ff359","1","1","322160","","false","0","US33X0404001","spotify:user:12149955269","2015-06-30T15:30:58Z"
"spotify:track:53Dl8snGjgz2B2zQoThvtv","All Is Lost","spotify:artist:1me05HW5s7TShHra5nN7uE","Alex Ebert","spotify:album:0NbAnvnpPVnZoWj6x0yx9H","All Is Lost (Original Motion Picture Soundtrack)","spotify:artist:1me05HW5s7TShHra5nN7uE","Alex Ebert","2013-10-01","https://i.scdn.co/image/ab67616d0000b27362773e8e57a8c996775bd438","1","2","270173","","false","0","QMNGX1300018","spotify:user:12149955269","2015-06-30T19:11:52Z"
"spotify:track:3MzA9pCyJZI7DcVtM6Pc71","Peterson (The American Dollar)","spotify:artist:5r4OqYJL7JrtZlffx7FJlb","The American Dollar","spotify:album:64TW6oYBQnJz36w7FKhDkP","Five Album Set & Bonus Eps","spotify:artist:5r4OqYJL7JrtZlffx7FJlb","The American Dollar","2014-05-05","https://i.scdn.co/image/ab67616d0000b273d482aab00e223df75f7c72c8","1","7","199813","https://p.scdn.co/mp3-preview/36132b7fdc09e09db2b8fe02e497594f05057f73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TCABX1410163","spotify:user:12149955269","2015-06-30T19:22:13Z"
"spotify:track:0JqBTf4ImzOf3TNR5wgefk","Opening the Gates","spotify:artist:4xjrTN2tw4VsS7mlBdSCmr","Chequerboard","spotify:album:6fePA0wognv8fQ9mPed4YQ","The Unfolding","spotify:artist:4xjrTN2tw4VsS7mlBdSCmr","Chequerboard","2013-09-27","https://i.scdn.co/image/ab67616d0000b273938d143ef4a032ade03a2a01","1","2","282677","","false","3","IEHZN1300002","spotify:user:12149955269","2015-06-30T19:24:51Z"
"spotify:track:5uWzSBJKqdSKJ3uMrYYUIT","Your Hand In Mine","spotify:artist:1uQWmt1OhuHGRKmZ2ZcL6p","Explosions In The Sky","spotify:album:1JU4XTyTzADBQE1KpM0Wtx","The Earth Is Not a Cold Dead Place","spotify:artist:1uQWmt1OhuHGRKmZ2ZcL6p","Explosions In The Sky","2003-11-04","https://i.scdn.co/image/ab67616d0000b273ec5724c2621c446f04c10af4","1","5","496573","","false","0","USY6C0706105","spotify:user:12149955269","2015-06-30T19:43:35Z"
"spotify:track:6WFNlrkPvno4BrwjJ7pyy0","Fireflies","spotify:artist:3ff1CmU6qfTqRAmdrq8EEG","Lights & Motion","spotify:album:0VIxw6zt84N7sWxGzgXEOU","Chronicle","spotify:artist:3ff1CmU6qfTqRAmdrq8EEG","Lights & Motion","2015-01-13","https://i.scdn.co/image/ab67616d0000b2739f6c153c24c1733a2de8154b","1","1","326306","https://p.scdn.co/mp3-preview/f7afe23a0a1a29a142a28cb8dcee8330ff52a631?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","US4KH1556001","spotify:user:12149955269","2015-06-30T20:27:51Z"
"spotify:track:1AIu4EHzrN7GdpeKgigZ3G","Twentytwofourteen","spotify:artist:02uPe16VFxPaiueQsPEDkE","The Album Leaf","spotify:album:4r6F9MHmX3c5zeYzaETi7z","In a Safe Place","spotify:artist:02uPe16VFxPaiueQsPEDkE","The Album Leaf","2004-06-22","https://i.scdn.co/image/ab67616d0000b273d493c6414bbefcfea17a7b10","1","4","340840","","false","0","USSUB0400159","spotify:user:12149955269","2015-06-30T20:49:56Z"
"spotify:track:5aEW7hL4yJ3StRw4x9ZLLn","Don't Get Any Closer","spotify:artist:4QK3YJ6hzJdhJHE9q7kbVV","Eluvium","spotify:album:4BMYwbOZd1i9vraiSXtSkg","Nightmare Ending","spotify:artist:4QK3YJ6hzJdhJHE9q7kbVV","Eluvium","2013-05-14","https://i.scdn.co/image/ab67616d0000b273109f4645f122d7534d3fd4a7","1","1","546373","","false","0","USY6C1321401","spotify:user:12149955269","2015-06-30T21:15:06Z"
"spotify:track:18z7tK7u9DcDw85LYRR5Fe","Cornfield Chase","spotify:artist:0YC192cP3KPCRWx8zr8MfZ","Hans Zimmer","spotify:album:7a78GiEowpaCa7ZJs44xUU","Interstellar (Original Motion Picture Soundtrack)","spotify:artist:0YC192cP3KPCRWx8zr8MfZ","Hans Zimmer","2014-11-18","https://i.scdn.co/image/ab67616d0000b2737af01d9841c137eaadea96a6","1","2","126959","","false","0","USNLR1400774","spotify:user:12149955269","2015-07-04T03:25:27Z"
"spotify:track:2H4zwjbv0D0ggDhf0E8j8j","Day One","spotify:artist:0YC192cP3KPCRWx8zr8MfZ","Hans Zimmer","spotify:album:7a78GiEowpaCa7ZJs44xUU","Interstellar (Original Motion Picture Soundtrack)","spotify:artist:0YC192cP3KPCRWx8zr8MfZ","Hans Zimmer","2014-11-18","https://i.scdn.co/image/ab67616d0000b2737af01d9841c137eaadea96a6","1","4","199422","","false","1","USNLR1400776","spotify:user:12149955269","2015-07-04T03:28:51Z"
"spotify:track:1olO0IZxJUM6COX6i57RGe","S.T.A.Y.","spotify:artist:0YC192cP3KPCRWx8zr8MfZ","Hans Zimmer","spotify:album:7a78GiEowpaCa7ZJs44xUU","Interstellar (Original Motion Picture Soundtrack)","spotify:artist:0YC192cP3KPCRWx8zr8MfZ","Hans Zimmer","2014-11-18","https://i.scdn.co/image/ab67616d0000b2737af01d9841c137eaadea96a6","1","15","383513","","false","0","USNLR1400787","spotify:user:12149955269","2015-07-04T03:40:42Z"
"spotify:track:1uyB4BHbIicheenh3BgeQ3","Dust","spotify:artist:0YC192cP3KPCRWx8zr8MfZ","Hans Zimmer","spotify:album:7a78GiEowpaCa7ZJs44xUU","Interstellar (Original Motion Picture Soundtrack)","spotify:artist:0YC192cP3KPCRWx8zr8MfZ","Hans Zimmer","2014-11-18","https://i.scdn.co/image/ab67616d0000b2737af01d9841c137eaadea96a6","1","3","341395","","false","0","USNLR1400775","spotify:user:12149955269","2015-07-04T04:11:08Z"
"spotify:track:0ODzmLDk8UNWNtNrJKpGzh","So Many Times, So Many Ways","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","spotify:album:6ETAoJJ5NhxsGyD53cHApT","Cold Spring Fault Less Youth","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","2013-05-27","https://i.scdn.co/image/ab67616d0000b27358aff2a7771d3ace3e869a7a","1","6","247533","","false","0","GBBPW1300014","spotify:user:12149955269","2015-07-07T11:38:33Z"
"spotify:track:2t0XPiQhdqLSoEHlZ2tMqG","Break Well","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","spotify:album:6ETAoJJ5NhxsGyD53cHApT","Cold Spring Fault Less Youth","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","2013-05-27","https://i.scdn.co/image/ab67616d0000b27358aff2a7771d3ace3e869a7a","1","3","222266","","false","0","GBBPW1300011","spotify:user:12149955269","2015-07-07T11:40:11Z"
"spotify:track:7gULZ0S23B4mJBzjUQMzJQ","BASF Ace","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:1mh0Y9kHmDJgxVsfsAb6Jt","Cyanide Sisters EP","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2011-01-25","https://i.scdn.co/image/ab67616d0000b2736272670126cc20607a7e1e97","1","3","284041","","false","0","US2J71102803","spotify:user:12149955269","2015-07-07T16:53:43Z"
